r : 3 	 pOfError : 0.3 	 pGB : 0.1 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 96.400000
r : 3 	 pOfError : 0.3 	 pGB : 0.1 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 97.075000
r : 3 	 pOfError : 0.3 	 pGB : 0.1 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 97.900000
r : 3 	 pOfError : 0.3 	 pGB : 0.1 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 98.900000
r : 3 	 pOfError : 0.3 	 pGB : 0.1 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 99.025000
r : 3 	 pOfError : 0.3 	 pGB : 0.1 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 99.250000

r : 3 	 pOfError : 0.3 	 pGB : 0.2 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 81.000000
r : 3 	 pOfError : 0.3 	 pGB : 0.2 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 84.975000
r : 3 	 pOfError : 0.3 	 pGB : 0.2 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 91.025000
r : 3 	 pOfError : 0.3 	 pGB : 0.2 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 92.575000
r : 3 	 pOfError : 0.3 	 pGB : 0.2 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 93.825000
r : 3 	 pOfError : 0.3 	 pGB : 0.2 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 95.900000
r : 3 	 pOfError : 0.3 	 pGB : 0.2 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 96.375000
r : 3 	 pOfError : 0.3 	 pGB : 0.2 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 98.000000
r : 3 	 pOfError : 0.3 	 pGB : 0.2 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 97.875000

